Experiment ID                :  onemax
Problem Type                 :  PD
Data Input File Name         :  NA
Number of Runs               :  50
Generations per Run          :  200
Population Size              :  500
Selection Method             :  2
Fitness Scaling Type         :  0
Min or Max Fitness           :  max
Crossover Type               :  1
Crossover Rate               :  1.0
Mutation Type                :  1
Mutation Rate                :  0.01
Random Number Seed           :  75982
Number of Genes/Points       :  1
Size of Genes                :  8


 R   1	 G   0	      4	      4.215	      0.297	
 R   1	 G   1	      4	      4.283	      0.284	
 R   1	 G   2	      5	      4.302	      0.289	
 R   1	 G   3	      4	      4.337	      0.251	
 R   1	 G   4	      4	      4.357	      0.243	
 R   1	 G   5	      4	      4.382	      0.245	
 R   1	 G   6	      4	      4.366	      0.247	
 R   1	 G   7	      4	      4.371	      0.236	
 R   1	 G   8	      4	      4.377	      0.239	
 R   1	 G   9	      5	      4.384	      0.255	
 R   1	 G  10	      5	      4.382	      0.251	
 R   1	 G  11	      4	      4.393	      0.236	
 R   1	 G  12	      5	      4.381	      0.246	
 R   1	 G  13	      4	      4.376	      0.236	
 R   1	 G  14	      5	      4.386	      0.234	
 R   1	 G  15	      4	      4.378	      0.236	
 R   1	 G  16	      4	      4.378	       0.23	
 R   1	 G  17	      4	      4.394	      0.221	
 R   1	 G  18	      4	      4.377	      0.224	
 R   1	 G  19	      4	      4.364	      0.247	
 R   1	 G  20	      4	      4.391	      0.231	
 R   1	 G  21	      5	      4.372	      0.229	
 R   1	 G  22	      4	      4.379	      0.234	
 R   1	 G  23	      5	      4.382	      0.257	
 R   1	 G  24	      4	      4.378	      0.242	
 R   1	 G  25	      4	       4.38	      0.221	
 R   1	 G  26	      4	      4.374	       0.23	
 R   1	 G  27	      4	       4.39	      0.228	
 R   1	 G  28	      5	       4.38	      0.235	
 R   1	 G  29	      4	      4.372	      0.233	
 R   1	 G  30	      5	      4.393	      0.232	
 R   1	 G  31	      4	       4.39	       0.24	
 R   1	 G  32	      5	      4.398	      0.239	
 R   1	 G  33	      4	      4.381	      0.231	
 R   1	 G  34	      4	      4.386	      0.232	
 R   1	 G  35	      4	      4.374	      0.242	
 R   1	 G  36	      4	      4.364	      0.241	
 R   1	 G  37	      5	      4.384	      0.246	
 R   1	 G  38	      4	      4.399	      0.228	
 R   1	 G  39	      4	      4.367	      0.243	
 R   1	 G  40	      4	      4.377	      0.238	
 R   1	 G  41	      4	      4.403	      0.222	
 R   1	 G  42	      4	      4.397	      0.237	
 R   1	 G  43	      4	      4.411	      0.217	
 R   1	 G  44	      4	      4.386	      0.241	
 R   1	 G  45	      5	      4.396	      0.232	
 R   1	 G  46	      5	      4.398	      0.227	
 R   1	 G  47	      4	      4.403	       0.22	
 R   1	 G  48	      4	      4.389	      0.217	
 R   1	 G  49	      4	      4.385	      0.229	
